message,timestamp,severity,tags,attributes
[runtime 4/7] COPY --from=application-build /app/node_modules ./node_modules,2026-08-20T20:57:04.935475835Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:369b9308d6c09e423d7aa1f455b2cdaa8c038ff47606a42e0791dc0d3344b014"",""inputs"":[""sha256:f369017669864b971082f833d349abfb8171c94db0abe08be3861196243f3496"",""sha256:9410ab8697abb9e413e6e34f51e10e864a0fd5885fe05e9a9a11a4152ee74a80""]}"
[application-build 3/7] COPY package.json package-lock.json ./,2026-08-20T20:57:04.935476306Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:f369017669864b971082f833d349abfb8171c94db0abe08be3861196243f3496"",""inputs"":[""sha256:df74c3ee1ffc324fd209ac5c2e65b5ddf80af2ef6f3e460f6b9c149d133823eb"",""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257""]}"
[internal] load build context,2026-08-20T20:57:04.935476656Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257""}"
[runtime 5/7] COPY --from=application-build /app/dist ./dist,2026-08-20T20:57:04.935477087Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:f294f800523d1e038029c18d45fa8b166c7bc14e60f4b0c29e7370ea190813d2"",""inputs"":[""sha256:369b9308d6c09e423d7aa1f455b2cdaa8c038ff47606a42e0791dc0d3344b014"",""sha256:9410ab8697abb9e413e6e34f51e10e864a0fd5885fe05e9a9a11a4152ee74a80""]}"
[runtime 6/7] COPY --from=application-build /app/uploads/avatars ./uploads/avatars,2026-08-20T20:57:04.935477958Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:8ca5140ff31beff31ee47e958f135ce8d345bf4ab2d3038063cb8f43d953be17"",""inputs"":[""sha256:f294f800523d1e038029c18d45fa8b166c7bc14e60f4b0c29e7370ea190813d2"",""sha256:9410ab8697abb9e413e6e34f51e10e864a0fd5885fe05e9a9a11a4152ee74a80""]}"
[runtime 7/7] RUN chown -R node:node /app,2026-08-20T20:57:04.935478649Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:3661fa3246489af8325e5054ee780a6970dacfa5ea6582d546cf28110a73f344"",""inputs"":[""sha256:8ca5140ff31beff31ee47e958f135ce8d345bf4ab2d3038063cb8f43d953be17""]}"
[application-build 7/7] RUN npm prune --omit=dev --no-audit --no-fund,2026-08-20T20:57:04.935479430Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:9410ab8697abb9e413e6e34f51e10e864a0fd5885fe05e9a9a11a4152ee74a80"",""inputs"":[""sha256:ac5c306f6f6a34bde214521708cd56d435b97be6f0c8f72952943fd33aa2ed87""]}"
"[application-build 4/7] RUN echo ""Installing build dependencies (epoch 20260820-1935-single-install)""   && rm -rf node_modules   && npm ci --include=dev --no-audit --no-fund   --fetch-retries=2 --fetch-retry-factor=2   --fetch-retry-mintimeout=1000 --fetch-retry-maxtimeout=10000   --fetch-timeout=120000   && test -x node_modules/.bin/tsx   && test -x node_modules/.bin/vite",2026-08-20T20:57:04.935480082Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""inputs"":[""sha256:f369017669864b971082f833d349abfb8171c94db0abe08be3861196243f3496""]}"
[deps 1/4] FROM docker.io/library/node:20-bookworm-slim@sha256:2cf067cfed83d5ea958367df9f966191a942351a2df77d6f0193e162b5febfc0,2026-08-20T20:57:04.935480602Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:97852eeef387b117dacf761a5ba4848d27868a6b797f238c32f9c7ce7940a981"",""started"":""2026-08-20T20:56:36.062344845Z"",""completed"":""2026-08-20T20:56:36.076129019Z""}"
[deps 1/4] FROM docker.io/library/node:20-bookworm-slim@sha256:2cf067cfed83d5ea958367df9f966191a942351a2df77d6f0193e162b5febfc0,2026-08-20T20:57:04.935481303Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:97852eeef387b117dacf761a5ba4848d27868a6b797f238c32f9c7ce7940a981"",""started"":""2026-08-20T20:56:36.062344845Z"",""completed"":""2026-08-20T20:56:36.076129019Z""}"
